epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1298.1,1.23192,0.63558,1.31387,0.93721,0.97324,0.97431,0.57308,1.56361,0.536,1.6522,0.000367703,0.000367703,0.000367703
43,1331.08,1.217,0.60877,1.3026,0.96716,0.99587,0.99301,0.56857,1.57707,0.52609,1.66519,0.000366862,0.000366862,0.000366862
44,1361.74,1.23485,0.63198,1.31252,0.96429,0.98592,0.98394,0.57487,1.55938,0.51959,1.66159,0.000366003,0.000366003,0.000366003
45,1392.26,1.24034,0.64,1.32529,0.9545,0.9865,0.98106,0.57172,1.55817,0.51427,1.65252,0.000365125,0.000365125,0.000365125
46,1422.85,1.21731,0.61775,1.3033,0.95582,0.98695,0.98394,0.56,1.59426,0.51929,1.66777,0.000364229,0.000364229,0.000364229
47,1454.09,1.22349,0.61339,1.30913,0.96317,0.98888,0.98703,0.57443,1.56016,0.49895,1.65712,0.000363313,0.000363313,0.000363313
48,1484.66,1.22964,0.61307,1.3167,0.96341,0.98773,0.98119,0.56913,1.55731,0.51957,1.65422,0.000362379,0.000362379,0.000362379
49,1515.71,1.18434,0.60831,1.2994,0.97084,0.97929,0.98121,0.58194,1.5543,0.48791,1.66832,0.000361427,0.000361427,0.000361427
50,1546.54,1.21433,0.59872,1.30224,0.9732,0.98674,0.98031,0.5735,1.53197,0.49678,1.63186,0.000360457,0.000360457,0.000360457
51,1577.47,1.19882,0.60066,1.29399,0.96067,0.9875,0.98332,0.57128,1.55941,0.48954,1.67297,0.000359468,0.000359468,0.000359468
52,1608.14,1.20217,0.60911,1.30504,0.94932,0.97589,0.96938,0.56121,1.59517,0.51025,1.68701,0.000358461,0.000358461,0.000358461
53,1639.05,1.21006,0.61573,1.29489,0.93161,0.9771,0.97081,0.56872,1.58036,0.503,1.65852,0.000357436,0.000357436,0.000357436
54,1669.69,1.21119,0.60663,1.31305,0.95841,0.98117,0.9814,0.56757,1.58495,0.50459,1.66387,0.000356393,0.000356393,0.000356393
55,1700.58,1.19176,0.59477,1.28722,0.94249,0.97848,0.96528,0.56033,1.57998,0.51023,1.68297,0.000355333,0.000355333,0.000355333
56,1731.09,1.20116,0.60094,1.29935,0.95996,0.9816,0.97098,0.55751,1.5969,0.51004,1.67559,0.000354255,0.000354255,0.000354255
57,1761.56,1.16294,0.58419,1.27896,0.95891,0.9789,0.97182,0.56119,1.58847,0.49556,1.6931,0.000353159,0.000353159,0.000353159
58,1792.36,1.20104,0.59408,1.30084,0.95177,0.98159,0.97701,0.55891,1.56936,0.50672,1.68007,0.000352046,0.000352046,0.000352046
59,1822.88,1.20178,0.58918,1.28983,0.95427,0.98735,0.97376,0.55617,1.5827,0.48915,1.67433,0.000350916,0.000350916,0.000350916
60,1853.44,1.18027,0.58672,1.28685,0.96428,0.98404,0.97873,0.57244,1.59275,0.48512,1.67918,0.000349768,0.000349768,0.000349768
61,1884.21,1.16335,0.57215,1.28705,0.96319,0.99242,0.98394,0.56407,1.58874,0.48867,1.68985,0.000348603,0.000348603,0.000348603
62,1914.62,1.16525,0.57079,1.28134,0.9712,0.99233,0.98979,0.56023,1.59109,0.47364,1.69057,0.000347422,0.000347422,0.000347422
63,1945.96,1.16965,0.57525,1.28529,0.96715,0.97284,0.98333,0.57071,1.60922,0.49417,1.70823,0.000346224,0.000346224,0.000346224
64,1976.51,1.17653,0.58036,1.29577,0.96598,0.98829,0.97657,0.55388,1.5954,0.48842,1.70941,0.000345009,0.000345009,0.000345009
65,2007.02,1.16968,0.57283,1.27621,0.95158,0.97965,0.96951,0.54341,1.61484,0.50136,1.72377,0.000343777,0.000343777,0.000343777
66,2038.13,1.19206,0.58576,1.2909,0.96517,0.98944,0.9858,0.56199,1.59132,0.4933,1.69437,0.00034253,0.00034253,0.00034253
67,2068.87,1.1636,0.576,1.27886,0.96162,0.97903,0.97134,0.55703,1.58336,0.47972,1.6797,0.000341266,0.000341266,0.000341266
68,2099.23,1.16383,0.5665,1.27313,0.96248,0.9778,0.97512,0.57215,1.5993,0.48109,1.69454,0.000339985,0.000339985,0.000339985
69,2129.4,1.16402,0.56619,1.26805,0.95283,0.98041,0.96529,0.55364,1.60206,0.4894,1.69777,0.000338689,0.000338689,0.000338689
70,2159.71,1.15892,0.5741,1.27753,0.96122,0.9775,0.98568,0.57279,1.57169,0.48851,1.67868,0.000337377,0.000337377,0.000337377
71,2190.12,1.16505,0.58031,1.28277,0.95917,0.9839,0.96982,0.56292,1.60999,0.49766,1.69129,0.00033605,0.00033605,0.00033605
72,2220.62,1.12948,0.55318,1.2655,0.96489,0.98852,0.98231,0.55474,1.61044,0.48352,1.73242,0.000334707,0.000334707,0.000334707
73,2251.22,1.12829,0.5504,1.26343,0.96286,0.97706,0.98003,0.55963,1.58903,0.48121,1.67254,0.000333348,0.000333348,0.000333348
74,2281.71,1.14346,0.55386,1.28111,0.95029,0.98003,0.96933,0.56803,1.59085,0.47891,1.68859,0.000331974,0.000331974,0.000331974
75,2312.17,1.14068,0.55084,1.2692,0.9559,0.97915,0.97379,0.57099,1.59329,0.48135,1.68756,0.000330586,0.000330586,0.000330586
76,2342.33,1.14186,0.54505,1.27077,0.9637,0.99001,0.9814,0.5608,1.57789,0.49581,1.69646,0.000329182,0.000329182,0.000329182
77,2372.73,1.14497,0.55038,1.28367,0.96598,0.98558,0.98455,0.56764,1.57012,0.48773,1.70318,0.000327763,0.000327763,0.000327763
78,2403.1,1.1356,0.53585,1.26515,0.96249,0.98665,0.98065,0.57552,1.55207,0.4752,1.66613,0.00032633,0.00032633,0.00032633
79,2433.5,1.11481,0.55865,1.25762,0.96875,0.98989,0.9814,0.55859,1.60176,0.49154,1.72291,0.000324883,0.000324883,0.000324883
80,2463.99,1.12126,0.53668,1.24498,0.96091,0.97231,0.97442,0.55029,1.60292,0.48161,1.71081,0.000323421,0.000323421,0.000323421
81,2494.51,1.12263,0.54022,1.25331,0.96682,0.98674,0.97811,0.56173,1.59256,0.4768,1.69718,0.000321945,0.000321945,0.000321945
82,2524.7,1.10592,0.54311,1.25268,0.96134,0.98063,0.97762,0.55702,1.61636,0.49002,1.72195,0.000320455,0.000320455,0.000320455
83,2554.94,1.11054,0.55618,1.25571,0.95052,0.97708,0.9671,0.55175,1.66191,0.49897,1.76047,0.000318951,0.000318951,0.000318951
84,2585.15,1.11165,0.53869,1.26353,0.96008,0.97639,0.97141,0.56426,1.61139,0.48029,1.70814,0.000317433,0.000317433,0.000317433
85,2615.74,1.12998,0.55334,1.26159,0.97053,0.97752,0.9814,0.57077,1.6023,0.48649,1.71416,0.000315902,0.000315902,0.000315902
86,2646.28,1.09507,0.52346,1.24499,0.95388,0.98082,0.97403,0.56172,1.60997,0.47546,1.71867,0.000314358,0.000314358,0.000314358
87,2676.77,1.11962,0.54016,1.26277,0.95607,0.97948,0.973,0.56185,1.60447,0.47826,1.69507,0.0003128,0.0003128,0.0003128
88,2707.24,1.09211,0.52766,1.24755,0.96288,0.97733,0.96891,0.55445,1.59996,0.47664,1.71515,0.00031123,0.00031123,0.00031123
