epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1059.42,1.2396,0.71996,1.30957,0.94926,0.97052,0.97428,0.56468,1.54766,0.59523,1.65043,0.000367703,0.000367703,0.000367703
43,1084.62,1.2211,0.69378,1.30231,0.96464,0.99364,0.99231,0.56624,1.58678,0.55684,1.6431,0.000366862,0.000366862,0.000366862
44,1108.93,1.24542,0.71204,1.30842,0.94622,0.98008,0.97719,0.57196,1.55257,0.5745,1.64755,0.000366003,0.000366003,0.000366003
45,1133.28,1.24319,0.71566,1.32369,0.95241,0.97192,0.97394,0.57513,1.56631,0.54607,1.64515,0.000365125,0.000365125,0.000365125
46,1158.44,1.23588,0.6934,1.3137,0.9507,0.97801,0.97683,0.5624,1.57121,0.55457,1.64367,0.000364229,0.000364229,0.000364229
47,1181.97,1.22476,0.67739,1.30377,0.96148,0.98423,0.98734,0.57091,1.54278,0.54459,1.62859,0.000363313,0.000363313,0.000363313
48,1207.39,1.22942,0.68948,1.31261,0.95445,0.98313,0.97593,0.57128,1.56508,0.53811,1.63087,0.000362379,0.000362379,0.000362379
49,1232.5,1.19601,0.66607,1.30896,0.9578,0.98672,0.97995,0.5729,1.56719,0.53572,1.65299,0.000361427,0.000361427,0.000361427
50,1256.08,1.21951,0.65916,1.30047,0.95966,0.98099,0.97928,0.57216,1.55158,0.54763,1.62364,0.000360457,0.000360457,0.000360457
51,1281.33,1.21173,0.66641,1.29124,0.95727,0.97741,0.98515,0.58202,1.51908,0.53702,1.62331,0.000359468,0.000359468,0.000359468
52,1305.66,1.21682,0.67261,1.31025,0.94707,0.97291,0.97169,0.56104,1.5879,0.53325,1.66375,0.000358461,0.000358461,0.000358461
53,1330.61,1.22454,0.66127,1.29922,0.9564,0.96618,0.97527,0.58614,1.52213,0.55444,1.61655,0.000357436,0.000357436,0.000357436
54,1356.05,1.22645,0.66549,1.31896,0.96305,0.98337,0.97945,0.57965,1.55357,0.53891,1.62922,0.000356393,0.000356393,0.000356393
55,1380.01,1.21071,0.64671,1.29836,0.94567,0.97843,0.97021,0.55833,1.58596,0.55459,1.67765,0.000355333,0.000355333,0.000355333
56,1405.06,1.202,0.6583,1.29885,0.95293,0.97522,0.96717,0.55357,1.58666,0.54999,1.64414,0.000354255,0.000354255,0.000354255
57,1430.58,1.19533,0.63737,1.29156,0.95993,0.98535,0.98169,0.56609,1.57642,0.53263,1.65222,0.000353159,0.000353159,0.000353159
58,1454.43,1.22955,0.65502,1.30396,0.96428,0.985,0.98421,0.57303,1.55866,0.52252,1.64087,0.000352046,0.000352046,0.000352046
59,1480.04,1.21342,0.648,1.29327,0.94774,0.97653,0.97969,0.56271,1.56992,0.52489,1.64494,0.000350916,0.000350916,0.000350916
60,1505.46,1.19576,0.64757,1.29264,0.94623,0.99225,0.98851,0.55747,1.59527,0.53181,1.66541,0.000349768,0.000349768,0.000349768
61,1529.48,1.17522,0.63695,1.29309,0.96213,0.98616,0.981,0.56187,1.58519,0.53119,1.63558,0.000348603,0.000348603,0.000348603
62,1555.62,1.1876,0.62611,1.28639,0.97416,0.99469,0.99201,0.55921,1.61274,0.53105,1.66838,0.000347422,0.000347422,0.000347422
63,1582.1,1.19665,0.64744,1.29418,0.97278,0.98498,0.98137,0.56249,1.57782,0.52819,1.65032,0.000346224,0.000346224,0.000346224
64,1606.27,1.20468,0.64178,1.2943,0.96034,0.98266,0.97915,0.57231,1.58,0.5257,1.66538,0.000345009,0.000345009,0.000345009
65,1632.27,1.19036,0.62674,1.28486,0.96636,0.98134,0.98074,0.55694,1.58785,0.51818,1.66929,0.000343777,0.000343777,0.000343777
66,1658.02,1.21376,0.63651,1.29032,0.96288,0.98513,0.9801,0.56364,1.5712,0.52152,1.66169,0.00034253,0.00034253,0.00034253
67,1682.65,1.18761,0.62415,1.28702,0.94744,0.97756,0.96567,0.54935,1.60694,0.53083,1.69141,0.000341266,0.000341266,0.000341266
